"DATE","NYSE ADV.","NYSE DEC.","NYSE UP VOL (x 1000)","NYSE DN VOL (x 1000)","DJIA CLOSE","NYSE A-D","10% TREND A-D","5% TREND A-D","McC A-D OSC","McC A-D SUMMATION INDEX","A-D FOR OSC UNCH'D TOMORROW","A-D FOR OSC TO 0 TOMORROW","NYSE UV-DV (x 1000)","10% TREND UV-DV","5% TREND UV-DV","McC UV-DV OSC","McC VOL SUMMATION INDEX","UV-DV FOR OSC UNCH'D TOMORROW","UV-DV FOR OSC TO 0 TOMORROW","10% TREND","5% TREND","PRICE OSCILLATOR","PRICE FOR UNCHANGED OSCILLATOR"
30-Nov-12,1625,1399,1839208,1590430,13025.58,226,336.06,181.16,154.90,1417.52,491,-2607,248778,261513,75479,186034,-919510,447547,-3273127,12942.03,13036.80,-94.77,12847.26
3-Dec-12,1196,1831,978492,1954431,12965.60,-635,238.95,140.35,98.60,1516.12,338,-1634,-975939,137768,22908,114859,-804651,252627,-2044561,12944.39,13033.24,-88.85,12855.53
4-Dec-12,1466,1543,1533862,1634765,12951.78,-77,207.36,129.48,77.87,1593.99,285,-1272,-100903,113901,16718,97183,-707468,211084,-1732574,12945.12,13029.17,-84.04,12861.08
5-Dec-12,1579,1442,2852308,1204014,13034.49,137,200.32,129.86,70.46,1664.45,271,-1138,1648294,267340,98297,169043,-538425,436383,-2944485,12954.06,13029.43,-75.37,12878.69
6-Dec-12,1605,1420,1713359,1387482,13074.04,185,198.79,132.62,66.17,1730.63,265,-1058,325877,273194,109676,163518,-374906,436712,-2833650,12966.06,13031.66,-65.60,12900.45
7-Dec-12,1653,1359,2209750,838798,13155.13,294,208.31,140.69,67.62,1798.25,276,-1077,1370952,382970,172739,210230,-164676,593200,-3611402,12984.97,13037.84,-52.87,12932.10
10-Dec-12,1678,1356,1589736,1329721,13169.88,322,219.68,149.75,69.93,1868.18,290,-1109,260015,370674,177103,193571,28894,564245,-3307172,13003.46,13044.44,-40.98,12962.48
11-Dec-12,2069,978,2429112,1104070,13248.44,1091,306.81,196.81,110.00,1978.17,417,-1783,1325042,466111,234500,231611,260505,697722,-3934493,13027.96,13054.64,-26.68,13001.27
12-Dec-12,1481,1580,2075932,1512024,13245.45,-99,266.23,182.02,84.21,2062.38,350,-1334,563908,475891,250971,224920,485425,700811,-3797590,13049.71,13064.18,-14.47,13035.23
13-Dec-12,915,2128,978836,2291808,13170.72,-1213,118.31,112.27,6.03,2068.42,124,4,-1312972,297004,172773,124231,609656,421235,-2063383,13061.81,13069.51,-7.70,13054.11
14-Dec-12,1427,1601,1466447,1595988,13135.01,-174,89.08,97.96,-8.88,2059.53,80,258,-129541,254350,157658,96692,706348,351042,-1582800,13069.13,13072.78,-3.65,13065.47
17-Dec-12,2053,1007,2706225,650200,13235.39,1046,184.77,145.36,39.41,2098.94,224,-564,2056025,434517,252576,181941,888289,616459,-3022366,13085.75,13080.91,4.84,13090.59
18-Dec-12,2276,816,3491064,574689,13350.96,1460,312.29,211.09,101.20,2200.14,413,-1610,2916375,682703,385766,296937,1185227,979640,-4959101,13112.27,13094.41,17.86,13130.13
19-Dec-12,1510,1533,1400411,2324329,13251.97,-23,278.76,199.39,79.37,2279.51,358,-1229,-923918,522041,320282,201759,1386986,723800,-3311383,13126.24,13102.29,23.95,13150.19
20-Dec-12,2066,965,2668937,896223,13311.72,1101,360.99,244.47,116.52,2396.03,478,-1853,1772714,647108,392903,254205,1641191,901313,-4182784,13144.79,13112.76,32.03,13176.82
21-Dec-12,998,2042,968320,3725095,13190.84,-1044,220.49,180.05,40.44,2436.47,261,-548,-2756775,306720,235420,71300,1712491,378020,-1047988,13149.40,13116.67,32.73,13182.12
24-Dec-12,1195,1786,451351,750745,13139.08,-591,139.34,141.49,-2.15,2434.32,137,180,-299394,246109,208679,37430,1749921,283538,-465056,13148.36,13117.79,30.58,13178.94
26-Dec-12,1093,1945,1077342,1146950,13114.59,-852,40.21,91.82,-51.61,2382.71,-11,1021,-69608,214537,194765,19772,1769693,234309,-161139,13144.99,13117.63,27.36,13172.35
27-Dec-12,1383,1658,929302,1815311,13096.31,-275,8.68,73.48,-64.79,2317.91,-56,1240,-886009,104482,140726,-36244,1733450,68239,793109,13140.12,13116.56,23.56,13163.68
28-Dec-12,972,2084,405144,1969100,12938.11,-1112,-103.38,14.20,-117.59,2200.33,-221,2131,-1563956,-62362,55492,-117853,1615596,-180215,2176850,13119.92,13107.64,12.28,13132.20
31-Dec-12,2645,444,3036750,104154,13104.14,2201,127.05,123.54,3.51,2203.84,131,60,2932596,237134,199347,37787,1653384,274922,-480824,13118.34,13107.46,10.88,13129.22
2-Jan-13,2827,291,3773105,379074,13412.55,2536,367.95,244.17,123.78,2327.62,492,-1984,3394031,552824,359081,193743,1847126,746567,-3128289,13147.76,13122.72,25.04,13172.80
3-Jan-13,1721,1343,1999767,1707578,13391.36,378,368.95,250.86,118.10,2445.72,487,-1875,292189,526760,355737,171024,2018150,697784,-2722693,13172.12,13136.15,35.97,13208.09
4-Jan-13,2329,716,2685989,656018,13435.21,1613,493.36,318.97,174.39,2620.11,668,-2820,2029971,677081,439448,237633,2255783,914715,-3837950,13198.43,13151.10,47.33,13245.76
7-Jan-13,1380,1651,1354677,1858255,13384.29,-271,416.92,289.47,127.46,2747.57,544,-2005,-503578,559016,392297,166719,2422502,725734,-2608637,13217.02,13162.76,54.25,13271.27
8-Jan-13,1509,1497,1247583,2187142,13328.85,12,376.43,275.59,100.84,2848.40,477,-1539,-939559,409158,325704,83454,2505956,492612,-1176466,13228.20,13171.07,57.13,13285.33
9-Jan-13,2050,982,1849528,1691182,13390.51,1068,445.59,315.21,130.37,2978.78,576,-2032,158346,384077,317336,66741,2572697,450817,-883995,13244.43,13182.04,62.39,13306.82
10-Jan-13,1964,1042,3054449,909531,13471.22,922,493.23,345.55,147.68,3126.45,641,-2313,2144918,560161,408715,151446,2724142,711607,-2317306,13267.11,13196.50,70.61,13337.72
11-Jan-13,1579,1441,1399316,1840925,13488.43,138,457.71,335.18,122.53,3248.98,580,-1870,-441609,459984,366199,93785,2817927,553769,-1321928,13289.24,13211.10,78.15,13367.39
14-Jan-13,1498,1511,1245761,1655678,13507.32,-13,410.64,317.77,92.87,3341.85,504,-1354,-409917,372994,327393,45601,2863528,418594,-493417,13311.05,13225.91,85.14,13396.19
15-Jan-13,1740,1291,2051809,1001381,13534.89,449,414.47,324.33,90.14,3431.99,505,-1298,1050428,440737,363545,77192,2940720,517930,-1025915,13333.43,13241.36,92.08,13425.51
16-Jan-13,1385,1630,1346975,1730402,13511.23,-245,348.52,295.86,52.66,3484.66,401,-652,-383427,358321,326196,32124,2972844,390445,-252043,13351.21,13254.85,96.36,13447.58
17-Jan-13,2298,729,2309008,1274300,13596.02,1569,470.57,359.52,111.05,3595.71,582,-1639,1034708,425960,361622,64338,3037182,490297,-796454,13375.69,13271.91,103.79,13479.48
18-Jan-13,1961,1047,2205538,1482667,13649.70,914,514.91,387.24,127.67,3723.38,643,-1911,722871,455651,379684,75966,3113148,531617,-987708,13403.09,13290.80,112.30,13515.39
22-Jan-13,2110,930,2593548,886139,13712.21,1180,581.42,426.88,154.54,3877.92,736,-2355,1707409,580827,446071,134756,3247904,715582,-1979535,13434.01,13311.87,122.14,13556.14
23-Jan-13,1458,1569,1585529,1838726,13779.33,-111,512.18,399.99,112.19,3990.12,624,-1620,-253197,497424,411107,86317,3334221,583741,-1142597,13468.54,13335.24,133.30,13601.84
24-Jan-13,1698,1330,1954144,1604440,13825.33,368,497.76,398.39,99.38,4089.49,597,-1390,349704,482652,408037,74615,3408836,557267,-935033,13504.22,13359.75,144.47,13648.69
25-Jan-13,1875,1143,2375259,961104,13895.98,732,521.19,415.07,106.12,4195.61,627,-1495,1414155,575802,458343,117459,3526295,693262,-1655927,13543.39,13386.56,156.84,13700.23
28-Jan-13,1315,1727,1289996,1916869,13881.93,-412,427.87,373.71,54.15,4249.77,482,-601,-626873,455535,404082,51453,3577748,506988,-522066,13577.25,13411.33,165.92,13743.17
29-Jan-13,1765,1265,2297951,1458508,13954.42,500,435.08,380.03,55.05,4304.82,490,-611,839443,493926,425850,68075,3645823,562001,-799508,13614.96,13438.48,176.48,13791.45
30-Jan-13,1025,1996,1240873,2368097,13910.42,-971,294.47,312.48,-18.00,4286.81,276,637,-1127224,331811,348197,-16386,3629438,315425,643141,13644.51,13462.08,182.43,13826.94
31-Jan-13,1575,1463,1895229,1940761,13860.58,112,276.23,302.45,-26.23,4260.59,250,775,-45532,294076,328510,-34434,3595004,259643,948316,13666.12,13482.00,184.11,13850.23
1-Feb-13,2343,710,3047837,774100,14009.79,1633,411.90,368.98,42.92,4303.51,455,-404,2273737,492043,425771,66271,3661275,558314,-767107,13700.48,13508.39,192.09,13892.58
4-Feb-13,663,2400,522362,2798048,13880.08,-1737,197.01,263.68,-66.67,4236.84,130,1464,-2275686,215270,290699,-75429,3585846,139841,1648419,13718.44,13526.98,191.47,13909.91
5-Feb-13,2228,837,2695159,843840,13979.30,1391,316.41,320.05,-3.64,4233.20,313,385,1851319,378875,368730,10145,3595991,389020,186120,13744.53,13549.59,194.94,13939.47
6-Feb-13,1768,1251,2132896,1296589,13986.52,517,336.47,329.90,6.58,4239.78,343,212,836307,424618,392108,32509,3628500,457127,-193060,13768.73,13571.44,197.29,13966.02
7-Feb-13,1296,1726,1183888,2289692,13944.05,-430,259.82,291.90,-32.08,4207.70,228,869,-1105804,271576,317213,-45637,3582863,225938,1138683,13786.26,13590.07,196.19,13982.45
8-Feb-13,2035,979,1804553,1016109,13992.97,1056,339.44,330.11,9.34,4217.04,349,162,788444,323262,340774,-17512,3565351,305751,655989,13806.93,13610.21,196.72,14003.65
11-Feb-13,1354,1669,1267494,1265096,13971.24,-315,274.00,297.85,-23.85,4193.18,250,727,2398,291176,323856,-32680,3532672,258496,912088,13823.36,13628.27,195.10,14018.46
12-Feb-13,1963,1080,2190109,1055389,14018.70,883,334.90,327.11,7.79,4200.97,343,187,1134720,375530,364399,11132,3543803,386662,164030,13842.90,13647.79,195.11,14038.00
13-Feb-13,1799,1274,1604322,1661239,13982.91,525,353.91,337.00,16.91,4217.88,371,33,-56917,332286,343333,-11047,3532756,321238,542185,13856.90,13664.54,192.35,14049.25
14-Feb-13,1511,1507,1925393,1679462,13973.39,4,318.92,320.35,-1.44,4216.44,317,346,245931,323650,338463,-14813,3517943,308838,605092,13868.55,13679.99,188.56,14057.11
15-Feb-13,1487,1552,1491029,2263761,13981.76,-65,280.53,301.08,-20.56,4195.88,260,671,-772732,214012,282903,-68891,3449052,145121,1522944,13879.87,13695.07,184.79,14064.66
19-Feb-13,2102,957,2493067,1175003,14035.67,1145,366.97,343.28,23.69,4219.58,391,-83,1318064,324417,334661,-10244,3438808,314173,519054,13895.45,13712.10,183.34,14078.79
20-Feb-13,718,2351,357003,3756886,13927.54,-1633,166.98,244.47,-77.49,4142.08,89,1639,-3399883,-48013,147934,-195947,3242861,-243960,3674977,13898.66,13722.88,175.78,14074.44
21-Feb-13,943,2116,955328,3195889,13880.62,-1173,32.98,173.59,-140.62,4001.47,-108,2705,-2240561,-267268,28509,-295777,2947084,-563045,5352493,13896.85,13730.76,166.09,14062.94
22-Feb-13,2276,746,2726898,593062,14000.57,1530,182.68,241.41,-58.73,3942.74,124,1299,2133836,-27157,133776,-160933,2786152,-188090,3030567,13907.23,13744.25,162.97,14070.20
25-Feb-13,675,2414,363654,3515883,13784.17,-1739,-9.49,142.39,-151.88,3790.85,-161,2876,-3152229,-339664,-30525,-309140,2477012,-648804,5533992,13894.92,13746.25,148.67,14043.59
26-Feb-13,2029,1005,2693406,1096030,13900.13,1024,93.86,186.47,-92.61,3698.24,1,1853,1597376,-145960,50870,-196831,2280181,-342791,3593825,13895.44,13753.94,141.50,14036.94
27-Feb-13,2311,731,3007131,482649,14075.37,1580,242.47,256.15,-13.67,3684.57,229,502,2524482,121084,174551,-53467,2226714,67617,1136960,13913.43,13770.01,143.42,14056.85
28-Feb-13,1551,1475,1751999,1926663,14054.49,76,225.83,247.14,-21.31,3663.25,205,631,-174664,91509,157090,-65581,2161133,25928,1337551,13927.54,13784.24,143.30,14070.84
1-Mar-13,1694,1315,1909939,1645126,14089.66,379,241.14,253.73,-12.59,3650.66,229,480,264813,108839,162476,-53637,2107496,55203,1127941,13943.75,13799.51,144.24,14087.99
4-Mar-13,1688,1341,1985052,1336380,14127.82,347,251.73,258.40,-6.67,3643.99,245,378,648672,162823,186786,-23963,2083532,138859,618128,13962.16,13815.93,146.23,14108.39
5-Mar-13,2252,804,2823580,683227,14253.77,1448,371.36,317.88,53.48,3697.47,425,-645,2140353,360576,284464,76111,2159644,436687,-1085538,13991.32,13837.82,153.50,14144.82
6-Mar-13,1699,1347,2462497,1098592,14296.24,352,369.42,319.58,49.84,3747.31,419,-577,1363905,460909,338437,122472,2282116,583381,-1866062,14021.81,13860.74,161.07,14182.88
7-Mar-13,1773,1290,2274122,1289326,14329.49,483,380.78,327.76,53.02,3800.33,434,-627,984796,513297,370754,142543,2424659,655840,-2195018,14052.58,13884.18,168.40,14220.98
8-Mar-13,2031,1003,2355672,1175357,14397.07,1028,445.50,362.77,82.73,3883.07,528,-1126,1180315,579999,411233,168767,2593425,748766,-2626567,14087.03,13909.82,177.21,14264.24
11-Mar-13,1635,1397,1801971,1124719,14447.29,238,424.75,356.53,68.22,3951.29,493,-871,677252,589724,424533,165191,2758616,754915,-2548904,14123.05,13936.69,186.36,14309.41

